sentiment,texte
neutral,"Selon Gran, l'entreprise n'a pas l'intention de déplacer toute sa production en Russie, même si c'est là que l'entreprise se développe."
neutral,"Technopolis envisage d'aménager par étapes une superficie de pas moins de 100 000 mètres carrés afin d'accueillir des entreprises travaillant dans les technologies informatiques et de télécommunications, précise le communiqué."
negative,"L'entreprise internationale de l'industrie électronique Elcoteq a licencié des dizaines d'employés de son usine de Tallinn ; Contrairement aux licenciements antérieurs, l'entreprise a réduit ses effectifs de bureau, a rapporté le quotidien Postimees."
positive,"Avec la nouvelle usine de production, l'entreprise augmenterait sa capacité pour répondre à l'augmentation attendue de la demande et améliorerait l'utilisation des matières premières et augmenterait ainsi la rentabilité de la production."
positive,"Selon la stratégie actualisée de l'entreprise pour les années 2009 à 2012, Basware vise une croissance des ventes nettes à long terme comprise entre 20 et 40 % avec une marge bénéficiaire d'exploitation de 10 à 20 % des ventes nettes."
positive,"FINANCEMENT DE LA CROISSANCE D'ASPOCOMP Aspocomp poursuit de manière agressive sa stratégie de croissance en se concentrant de plus en plus sur les circuits imprimés HDI, technologiquement plus exigeants."
positive,"Pour le dernier trimestre 2010, le chiffre d'affaires net de Componenta a doublé pour atteindre 131 millions d'euros contre 76 millions d'euros pour la même période un an plus tôt, tandis qu'il est passé à un bénéfice avant impôts nul après une perte avant impôts de 7 millions d'euros."
positive,"Au troisième trimestre 2010, le chiffre d'affaires net a augmenté de 5,2 % à 205,5 millions d'euros et le résultat opérationnel de 34,9 % à 23,5 millions d'euros."
positive,"Le résultat opérationnel s'est élevé à 13,1 millions d'euros contre 8,7 millions d'euros pour la période correspondante de 2007, soit 7,7 % du chiffre d'affaires net."
positive,"Le résultat opérationnel s'élève à 21,1 millions d'euros contre 18,6 millions d'euros en 2007, soit 9,7 % du chiffre d'affaires net."
positive,TeliaSonera TLSN a déclaré que l'offre était conforme à sa stratégie visant à accroître sa participation dans les activités principales et qu'elle renforcerait l'offre d'Eesti Telekom à ses clients.
positive,"STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston ( CFSB ) a augmenté la juste valeur des actions de quatre des plus grands groupes forestiers nordiques."
positive,"Un contrat d'achat de 7 200 tonnes d'essence avec livraison au terminal de Hamina, en Finlande, a été signé avec Neste Oil OYj à l'indice Platts moyen de septembre plus huit dollars américains par mois."
positive,"Finnish Talentum rapporte que son bénéfice d'exploitation a augmenté à 20,5 millions d'euros en 2005 contre 9,3 millions d'euros en 2004, et que son chiffre d'affaires net s'est élevé à 103,3 millions d'euros, contre 96,4 millions d'euros."
positive,"Les ventes de la chaîne de vente au détail de vêtements Sepp+�l+� ont augmenté de 8 % à 155,2 millions d'euros et le bénéfice d'exploitation a atteint 31,1 millions d'euros contre 17,1 millions d'euros en 2004."
positive,"Le chiffre d'affaires net consolidé a augmenté de 16 % pour atteindre 74,8 millions d'euros, tandis que le résultat opérationnel s'est élevé à 0,9 million d'euros contre une perte de 0,7 million d'euros l'année précédente."
positive,"La division Fonderies rapporte que ses ventes ont augmenté de 9,7 % à 63,1 millions d'euros contre 57,5 ​​millions d'euros pour la période correspondante en 2006, et les ventes de la division Atelier d'usinage ont augmenté de 16,4 % à 41,2 millions d'euros contre 35,4 millions d'euros pour la période correspondante en 2006."
positive,"HELSINKI (AFX) - Les actions ont clôturé en hausse, menées par Nokia après avoir annoncé son projet de s'associer avec Sanyo pour fabriquer des téléphones 3G, et par Nokian Tyres après que ses résultats du quatrième trimestre ont dépassé les attentes des analystes, ont indiqué les concessionnaires."
positive,"Incap Contract Manufacturing Services Pvt Ltd, une filiale d'Incap Corporation de Finlande, prévoit de doubler ses revenus d'ici 2007-2008."
positive,"Son conseil d'administration proposera un dividende de 0,12 euro par action pour 2010, contre 0,08 euro par action versé en 2009."
positive,Lifetree a été fondée en 2000 et ses revenus ont augmenté en moyenne de 40 % avec des marges à la fin des années 30.
positive,"(Filippova) Un accord trilatéral sur l'investissement dans la construction d'un parc technologique à Saint-Pétersbourg devait être signé au cours du forum « Journées de l'économie russe », qui s'est ouvert aujourd'hui à Helsinki."
positive,"La base d'abonnés de MegaFon a augmenté de 16,1 % en 2009 pour atteindre 50,5 millions d'utilisateurs au 31 décembre, tandis que sa part de marché en nombre de clients s'élevait à 24 % fin 2009, contre 23 % fin 2008, selon les estimations de TeliaSonera. ."
positive,"Le revenu net de l'assurance vie a doublé pour atteindre 6,8 millions d'euros contre 3,2 millions d'euros, et le revenu net de l'assurance non-vie a augmenté à 5,2 millions d'euros contre 1,5 million d'euros pour la période correspondante en 2009."
positive,"Le chiffre d'affaires net a augmenté à 193,3 millions d'euros contre 179,9 millions d'euros et le bénéfice avant impôts a augmenté de 34,2 % à 43,1 millions d'euros. (1 EUR = 1,4 USD)"
positive,"Le chiffre d'affaires a bondi de 18,5 % à 167,8 millions d'euros. Teleste a indiqué que 20,4 millions d' euros , soit 12,2 % du chiffre d' affaires , provenaient des acquisitions réalisées en 2009 ."
positive,"Le bénéfice d'exploitation du groupe Nordea a augmenté en 2010 de 18 pour cent sur un an à 3,64 milliards d'euros et le chiffre d'affaires total de 3 pour cent à 9,33 milliards d'euros."
positive,"Le bénéfice d'exploitation pour la période de neuf mois a augmenté de 13,6 millions d'euros, tandis que le chiffre d'affaires net a augmenté de 394,7 millions d'euros, par rapport à la période correspondante de 2005."
positive,"Le bénéfice d'exploitation pour la période de neuf mois a augmenté de 3,1 millions d'euros et le chiffre d'affaires net a augmenté de 61,5 millions d'euros par rapport à la période correspondante de 2007."
positive,"Le bénéfice d'exploitation pour la période de trois mois a augmenté de 1,2 million d'euros, tandis que le chiffre d'affaires a augmenté de 20,2 millions d'euros, par rapport à la période correspondante de 2005."
positive,"L'unité brésilienne du fournisseur finlandais de solutions de sécurité F-Secure a enregistré 1 500 nouveaux clients l'année dernière, a déclaré la source d'information en ligne Reseller Web citant le directeur commercial de la division, Vladimir Brand+_o."
positive,"Le bénéfice net de l'entreprise a augmenté de 11,4% sur l'année à 82,2 millions d'euros en 2005 sur un chiffre d'affaires de 686,5 millions d'euros, en hausse de 13,8% sur l'année, a indiqué la société plus tôt."
positive,"Le marché lituanien de la bière représentait 14,41 millions de litres en janvier, soit une augmentation de 0,8 pour cent par rapport à l'année précédente, rapporte l'Association des brasseurs lituaniens citant les résultats de ses membres."
positive,"Les revenus cargo de Viking Line ont augmenté de 5,4 % à 21,46 millions d'euros, et le volume de fret a augmenté de 2,4 % à 70 116 unités de fret."
positive,"La juste valeur du portefeuille immobilier a doublé suite à l'acquisition de Kapiteeli et s'élève à 2.686,2 1.259,7 millions d'euros."
positive,"10 février 2011 - La société de médias finlandaise Sanoma Oyj HEL ​​: SAA1V a annoncé hier que son bénéfice net 2010 avait presque triplé, passant de 107,1 millions d'euros en 2009 à 297,3 millions d'euros, et a annoncé une proposition de versement d'une augmentation."
